set_id,label,url,cards_status,reason
705095309,https://quizlet.com/705095309/on-screen-c1-intro-flash-cards/?new,https://quizlet.com/705095309/on-screen-c1-intro-flash-cards/?new,blocked,Quizlet human-verification challenge loop
705457025,https://quizlet.com/705457025/flash-cards/,https://quizlet.com/705457025/flash-cards/,blocked,Quizlet human-verification challenge loop
827258027,https://quizlet.com/827258027/os-c1-sb-m1-vocabulary-part-1-ex1-4-flash-cards/,https://quizlet.com/827258027/os-c1-sb-m1-vocabulary-part-1-ex1-4-flash-cards/,blocked,Quizlet human-verification challenge loop
705478118,https://quizlet.com/705478118/flash-cards/?new,https://quizlet.com/705478118/flash-cards/?new,blocked,Quizlet human-verification challenge loop
705516677,https://quizlet.com/705516677/flash-cards/?new,https://quizlet.com/705516677/flash-cards/?new,blocked,Quizlet human-verification challenge loop
705518219,https://quizlet.com/705518219/flash-cards/?new,https://quizlet.com/705518219/flash-cards/?new,blocked,Quizlet human-verification challenge loop
707099435,https://quizlet.com/707099435/writing-ex-1-3-pp-14-15-flash-cards/?new,https://quizlet.com/707099435/writing-ex-1-3-pp-14-15-flash-cards/?new,blocked,Quizlet human-verification challenge loop
828865520,https://quizlet.com/828865520/os-c1-sb-m1-language-knowledge-ex4-sentences-1-6-p19-flash-cards/?new,https://quizlet.com/828865520/os-c1-sb-m1-language-knowledge-ex4-sentences-1-6-p19-flash-cards/?new,blocked,Quizlet human-verification challenge loop
827268713,https://quizlet.com/827268713/os-c1-sb-m1-language-knowledge-ex7-12-p19-flash-cards/?setIdOrUsername=827268713,https://quizlet.com/827268713/os-c1-sb-m1-language-knowledge-ex7-12-p19-flash-cards/?setIdOrUsername=827268713,blocked,Quizlet human-verification challenge loop
707102729,https://quizlet.com/707102729/language-knowledge-ex-1-4-pp-18-19-flash-cards/?new,https://quizlet.com/707102729/language-knowledge-ex-1-4-pp-18-19-flash-cards/?new,blocked,Quizlet human-verification challenge loop
707323011,https://quizlet.com/707323011/language-focus-ex-1-3-pp-20-flash-cards/?new,https://quizlet.com/707323011/language-focus-ex-1-3-pp-20-flash-cards/?new,blocked,Quizlet human-verification challenge loop
726920181,https://quizlet.com/726920181/os-c1-wb-m1-1a-reading-flash-cards/,https://quizlet.com/726920181/os-c1-wb-m1-1a-reading-flash-cards/,blocked,Quizlet human-verification challenge loop
727737770,https://quizlet.com/727737770/os-c1-wb-m1-1b-vocabulary-flash-cards/,https://quizlet.com/727737770/os-c1-wb-m1-1b-vocabulary-flash-cards/,blocked,Quizlet human-verification challenge loop
727919429,https://quizlet.com/727919429/os-c1-m1-wb-1c-grammar-in-use-flash-cards/,https://quizlet.com/727919429/os-c1-m1-wb-1c-grammar-in-use-flash-cards/,blocked,Quizlet human-verification challenge loop
727921177,https://quizlet.com/727921177/os-c1-m1-wb-1d-listening-flash-cards/,https://quizlet.com/727921177/os-c1-m1-wb-1d-listening-flash-cards/,blocked,Quizlet human-verification challenge loop
729718691,https://quizlet.com/729718691/os-c1-wb-m1-speaking-flash-cards/?new,https://quizlet.com/729718691/os-c1-wb-m1-speaking-flash-cards/?new,blocked,Quizlet human-verification challenge loop
729720466,https://quizlet.com/729720466/os-c1-wb-m1-writing-flash-cards/?new,https://quizlet.com/729720466/os-c1-wb-m1-writing-flash-cards/?new,blocked,Quizlet human-verification challenge loop
729724499,https://quizlet.com/729724499/os-c1-wb-m1-skill-work-flash-cards/?new,https://quizlet.com/729724499/os-c1-wb-m1-skill-work-flash-cards/?new,blocked,Quizlet human-verification challenge loop
